Timestamp: 2023-05-16 10:53:00.660080, diff: 0:00:00.288916
Timestamp: 2023-05-16 10:55:17.212567, diff: 0:00:00.250775
Timestamp: 2023-05-16 10:55:18.180520, diff: 0:00:00.332112
Timestamp: 2023-05-16 10:55:19.106457, diff: 0:00:00.284143
Timestamp: 2023-05-16 10:55:20.001611, diff: 0:00:00.306045
Timestamp: 2023-05-16 10:55:20.676394, diff: 0:00:00.284663
Timestamp: 2023-05-16 10:55:21.399349, diff: 0:00:00.286721
Timestamp: 2023-05-16 10:55:22.133505, diff: 0:00:00.251998
Timestamp: 2023-05-16 10:55:22.757915, diff: 0:00:00.239737
Timestamp: 2023-05-16 10:55:23.347475, diff: 0:00:00.287336
Timestamp: 2023-05-16 10:55:23.946433, diff: 0:00:00.194299
Timestamp: 2023-05-16 10:55:24.529526, diff: 0:00:00.334383
Timestamp: 2023-05-16 10:55:25.163560, diff: 0:00:00.342405
Timestamp: 2023-05-16 10:55:25.817632, diff: 0:00:00.253109
Timestamp: 2023-05-16 10:55:26.695466, diff: 0:00:00.202660
Timestamp: 2023-05-16 10:55:27.435590, diff: 0:00:00.207738
Timestamp: 2023-05-16 10:55:28.139532, diff: 0:00:00.315064
Timestamp: 2023-05-16 10:55:28.827454, diff: 0:00:00.330534
Timestamp: 2023-05-16 10:55:29.582606, diff: 0:00:00.282248
Timestamp: 2023-05-16 10:55:30.309377, diff: 0:00:00.292353
Timestamp: 2023-05-16 10:55:31.034629, diff: 0:00:00.474173
Timestamp: 2023-05-16 10:55:31.714443, diff: 0:00:00.794831
Timestamp: 2023-05-16 10:55:32.576491, diff: 0:00:00.393860
Timestamp: 2023-05-16 10:55:33.543349, diff: 0:00:00.325527
Timestamp: 2023-05-16 10:55:34.314422, diff: 0:00:00.358404
Timestamp: 2023-05-16 10:55:35.077532, diff: 0:00:00.353736
Timestamp: 2023-05-16 10:55:35.922671, diff: 0:00:00.368547
Timestamp: 2023-05-16 10:55:36.773641, diff: 0:00:00.196232
Timestamp: 2023-05-16 10:55:37.502464, diff: 0:00:00.317921
Timestamp: 2023-05-16 10:55:38.323676, diff: 0:00:00.207965
Timestamp: 2023-05-16 10:55:38.971408, diff: 0:00:00.263105
Timestamp: 2023-05-16 10:55:39.701510, diff: 0:00:00.216207
Timestamp: 2023-05-16 10:55:40.630439, diff: 0:00:00.362857
Timestamp: 2023-05-16 10:55:41.331411, diff: 0:00:00.411802
Timestamp: 2023-05-16 10:55:42.049456, diff: 0:00:00.208989
Timestamp: 2023-05-16 10:56:06.588432, diff: 0:00:00.274844
Timestamp: 2023-05-16 10:56:07.520497, diff: 0:00:00.276653
Timestamp: 2023-05-16 10:56:08.279502, diff: 0:00:00.207948
Timestamp: 2023-05-16 10:56:09.122396, diff: 0:00:00.353818
Timestamp: 2023-05-16 10:56:10.028467, diff: 0:00:00.274669
Timestamp: 2023-05-16 10:56:10.942447, diff: 0:00:00.219726
Timestamp: 2023-05-16 10:56:11.733406, diff: 0:00:00.207887
Timestamp: 2023-05-16 10:56:12.854586, diff: 0:00:00.310052
